Row #	A
1	75
2	715
3	923
4	70
5	362
6	940
7	377
8	824
9	700
10	364
11	809
12	700
13	52
14	562
15	716
16	318
17	458
18	521
19	857
20	836
21	931
22	756
23	553
24	566
25	421
26	919
27	323
28	838
29	151
30	377
31	539
32	863
33	177
34	939
35	88
36	407
37	375
38	573
39	638
40	679
41	176
42	698
43	21
44	957
45	295
46	400
47	383
48	126
49	368
50	690
51	239
52	466
53	895
54	771
55	275
56	760
57	128
58	108
59	798
60	32
61	585
62	996
63	970
64	990
65	675
66	229
67	613
68	553
69	525
70	416
71	175
72	703
73	461
74	483
75	619
76	231
77	763
78	881
79	410
80	887
81	258
82	94
83	481
84	839
85	12
86	83
87	43
88	339
89	912
90	419
91	372
92	951
93	185
94	994
95	259
96	768
97	986
98	354
99	616
100	554
101	15
102	905
103	882
104	858
105	762
106	457
107	219
108	767
109	373
110	844
111	194
112	107
113	333
114	645
115	586
116	575
117	122
118	341
119	178
120	517
121	749
122	608
123	950
124	790
125	616
126	830
127	830
128	436
129	450
130	314
131	299
132	678
133	176
134	167
135	461
136	133
137	438
138	233
139	846
140	932
141	155
142	31
143	151
144	918
145	943
146	159
147	307
148	949
149	430
150	199
151	747
152	863
153	521
154	765
155	545
156	586
157	424
158	971
159	89
160	459
161	834
162	260
163	351
164	852
165	5
166	222
167	357
168	764
169	567
170	782
171	403
172	212
173	857
174	857
175	710
176	851
177	215
178	413
179	678
180	460
181	173
182	656
183	616
184	645
185	708
186	926
187	872
188	337
189	768
190	784
191	547
192	445
193	96
194	665
195	594
196	348
197	956
198	438
199	933
200	701
201	769
202	170
203	375
204	462
205	793
206	423
207	552
208	874
209	938
210	436
211	785
212	640
213	534
214	627
215	755
216	429
217	338
218	932
219	181
220	381
221	396
222	672
223	183
224	294
225	388
226	752
227	883
228	725
229	980
230	234
231	904
232	335
233	278
234	540
235	796
236	411
237	948
238	786
239	110
240	674
241	695
242	61
243	791
244	123
245	803
246	773
247	794
248	920
249	180
250	539
251	345
252	26
253	868
254	473
255	65
256	611
257	321
258	161
259	258
260	19
261	814
262	36
263	19
264	458
265	260
266	352
267	463
268	411
269	332
270	473
271	306
272	187
273	247
274	718
275	212
276	953
277	800
278	586
279	830
280	55
281	193
282	781
283	194
284	418
285	43
286	97
287	219
288	358
289	467
290	879
291	342
292	174
293	524
294	480
295	986
296	491
297	391
298	865
299	389
300	436
301	579
302	250
303	546
304	380
305	170
306	488
307	440
308	149
309	533
310	710
311	482
312	353
313	221
314	577
315	107
316	672
317	796
318	418
319	743
320	766
321	123
322	403
323	989
324	737
325	290
326	866
327	660
328	949
329	669
330	873
331	524
332	338
333	803
334	135
335	965
336	286
337	735
338	398
339	515
340	521
341	116
342	526
343	197
344	507
345	939
346	592
347	845
348	250
349	4
350	417
351	180
352	491
353	319
354	174
355	184
356	797
357	452
358	863
359	469
360	162
361	495
362	693
363	714
364	341
365	700
366	671
367	918
368	284
369	43
370	966
371	156
372	730
373	936
374	979
375	802
